,Metadata_plate_map_name,Metadata_control_type,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_broad_sample.1,Metadata_BRD with batch,Metadata_Common Name,Metadata_MoA,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Object_Count,p_value,average_precision
0,S-C-7314-04-CMP-001,trt,BRD-K62391742-001-19-9,4.3422,5.0,DMSO,K62391742,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,BR00122249,A01,9,3219,3219,3219,3219,9.999000099990002e-05,0.9166666666666666
1,S-C-7314-04-CMP-001,trt,BRD-K19477839-001-10-9,1.797,5.0,DMSO,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,BR00122249,A02,9,3824,3824,3824,3824,0.05119488051194881,0.06749851455733809
2,S-C-7314-04-CMP-001,trt,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122249,A03,9,3838,3838,3838,3838,0.10948905109489052,0.04078282828282828
3,S-C-7314-04-CMP-001,trt,BRD-K70642949-001-06-9,2.313,5.0,DMSO,K70642949,BRD-K70642949-001-04-5,GSK2334470,phosphoinositide dependent kinase inhibitor,BR00122249,A04,9,2768,2768,2768,2768,9.999000099990002e-05,1.0
4,S-C-7314-04-CMP-001,trt,BRD-K73397362-001-09-9,2.6031,5.0,DMSO,K73397362,BRD-K73397362-001-06-6,purmorphamine,smoothened receptor agonist,BR00122249,A05,9,3722,3722,3722,3722,0.0005999400059994001,0.4222222222222222
5,S-C-7314-04-CMP-001,trt,BRD-K13606314-001-02-9,1.7411,5.0,DMSO,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,BR00122249,A06,9,3753,3753,3753,3753,0.24577542245775422,0.022047781188323633
6,S-C-7314-04-CMP-001,trt,BRD-K82941592-238-06-9,2.6182,5.0,DMSO,K82941592,BRD-K82941592-238-03-7,rosuvastatin,HMGCR inhibitor,BR00122249,A07,9,3915,3915,3915,3915,0.0438956104389561,0.07562230565985259
7,S-C-7314-04-CMP-001,trt,BRD-K86718786-001-03-9,1.4917,5.0,DMSO,K86718786,BRD-K86718786-001-03-9,SGC-707,protein arginine N-methyltransferase inhibitor,BR00122249,A08,9,4082,4082,4082,4082,0.0780921907809219,0.05102453102453103
8,S-C-7314-04-CMP-001,trt,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122249,A09,9,1770,1770,1770,1770,9.999000099990002e-05,1.0
9,S-C-7314-04-CMP-001,trt,BRD-K36234266-001-10-6,1.0702,5.0,DMSO,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,BR00122249,A10,9,3720,3720,3720,3720,0.2064793520647935,0.02525672980218435
