,Metadata_broad_sample_x,average_precision_std,average_precision_mito,average_precision_act,BRD ID,Metadata_broad_sample_y,Common Name,MoA,std_vs_act,std_vs_mito
0,BRD-A12994259-001-11-9,0.10955503314536727,0.04106362361483655,0.1189305903733504,A12994259,BRD-A12994259-001-02-1,pomalidomide,tumor necrosis factor production inhibitor,-0.009375557227983125,0.06849140953053072
1,BRD-A22769835-300-05-7,0.011390147377227103,0.02949657787694289,0.023821862279838985,A22769835,BRD-A22769835-300-05-7,homochlorcyclizine,antihistamine,-0.012431714902611881,-0.018106430499715786
2,BRD-A53576514-048-02-8,0.04617461963750725,0.1833019774514587,0.059661034883154065,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,-0.013486415245646817,-0.13712735781395147
3,BRD-A87435144-001-01-6,0.10679002598213568,0.07866485866907745,0.13393854005521255,A87435144,BRD-A87435144-001-01-6,AZD7545,pyruvate dehydrogenase kinase inhibitor,-0.027148514073076876,0.028125167313058225
4,BRD-K00818915-001-02-9,0.18928995877912755,0.1897562890307287,0.07189728462084566,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,0.11739267415828189,-0.0004663302516011436
5,BRD-K01826510-001-09-9,0.03797591735678792,0.0746827293059189,0.018357154975974815,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,0.0196187623808131,-0.03670681194913099
6,BRD-K02965346-001-01-8,0.9166666666666667,0.5669190336953494,0.8586309523809523,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,0.05803571428571441,0.3497476329713174
7,BRD-K03063480-001-08-9,0.9583333333333333,0.5808469308469308,0.7409722222222221,K03063480,BRD-K03063480-001-06-6,PF-477736,CHK inhibitor,0.21736111111111112,0.3774864024864024
8,BRD-K04923131-001-17-9,1.0,1.0,0.5863686995265943,K04923131,BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor,0.4136313004734057,0.0
9,BRD-K06182768-001-02-3,0.010157074614598097,0.06298017376306836,0.026257425179132876,K06182768,BRD-K06182768-001-06-4,A-366,histone lysine methyltransferase inhibitor,-0.01610035056453478,-0.05282309914847026
10,BRD-K06883221-001-02-9,0.02726300292853341,0.019429886518556976,0.024689695997976838,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,0.0025733069305565737,0.007833116409976436
