,Metadata_plate_map_name,Metadata_control_type,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_BRD ID,Metadata_BRD with batch,Metadata_Common Name,Metadata_MoA,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Object_Count,Metadata_batch,p_value,average_precision
0,S-C-7314-04-CMP-001,,BRD-K62391742-001-19-9,4.3422,5.0,DMSO,K62391742,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,BR00122250,A01,9,3121,3121,3121,3121,2023_05_15_Batch1,0.08449155084491551,0.047505197505197515
1,S-C-7314-04-CMP-001,,BRD-K19477839-001-10-9,1.797,5.0,DMSO,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,BR00122250,A02,9,3804,3804,3804,3804,2023_05_15_Batch1,0.048795120487951205,0.07351515465162416
2,S-C-7314-04-CMP-001,,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122250,A03,9,3766,3766,3766,3766,2023_05_15_Batch1,0.9416058394160584,0.00702226242990273
3,S-C-7314-04-CMP-001,,BRD-K70642949-001-06-9,2.313,5.0,DMSO,K70642949,BRD-K70642949-001-04-5,GSK2334470,phosphoinositide dependent kinase inhibitor,BR00122250,A04,9,2922,2922,2922,2922,2023_05_15_Batch1,9.999000099990002e-05,0.7916666666666666
4,S-C-7314-04-CMP-001,,BRD-K73397362-001-09-9,2.6031,5.0,DMSO,K73397362,BRD-K73397362-001-06-6,purmorphamine,smoothened receptor agonist,BR00122250,A05,9,3971,3971,3971,3971,2023_05_15_Batch1,0.012598740125987402,0.19347826086956524
5,S-C-7314-04-CMP-001,,BRD-K13606314-001-02-9,1.7411,5.0,DMSO,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,BR00122250,A06,9,3679,3679,3679,3679,2023_05_15_Batch1,0.28147185281471854,0.01962082261686558
6,S-C-7314-04-CMP-001,,BRD-K82941592-238-06-9,2.6182,5.0,DMSO,K82941592,BRD-K82941592-238-03-7,rosuvastatin,HMGCR inhibitor,BR00122250,A07,9,3803,3803,3803,3803,2023_05_15_Batch1,0.13138686131386862,0.033475002059138455
7,S-C-7314-04-CMP-001,,BRD-K86718786-001-03-9,1.4917,5.0,DMSO,K86718786,BRD-K86718786-001-03-9,SGC-707,protein arginine N-methyltransferase inhibitor,BR00122250,A08,9,3750,3750,3750,3750,2023_05_15_Batch1,0.773922607739226,0.008912822575362167
8,S-C-7314-04-CMP-001,,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122250,A09,9,1840,1840,1840,1840,2023_05_15_Batch1,9.999000099990002e-05,0.6784313725490195
9,S-C-7314-04-CMP-001,,BRD-K36234266-001-10-6,1.0702,5.0,DMSO,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,BR00122250,A10,9,3559,3559,3559,3559,2023_05_15_Batch1,0.0484951504849515,0.07362859644355886
10,S-C-7314-04-CMP-001,,BRD-K72898849-001-03-9,2.5469,5.0,DMSO,K72898849,BRD-K72898849-001-01-8,BLU9931,FGFR inhibitor,BR00122250,A11,9,2287,2287,2287,2287,2023_05_15_Batch1,9.999000099990002e-05,0.6
11,S-C-7314-04-CMP-001,,BRD-A87435144-001-01-6,2.3944,5.0,DMSO,A87435144,BRD-A87435144-001-01-6,AZD7545,pyruvate dehydrogenase kinase inhibitor,BR00122250,A12,9,3643,3643,3643,3643,2023_05_15_Batch1,0.0115988401159884,0.2226107226107226
12,S-C-7314-04-CMP-001,,BRD-K94455792-001-01-8,2.7432,5.0,DMSO,K94455792,BRD-K94455792-001-01-8,ICG-001,beta-catenin inhibitor,BR00122250,A13,9,2727,2727,2727,2727,2023_05_15_Batch1,9.999000099990002e-05,0.8666666666666667
13,S-C-7314-04-CMP-001,,BRD-K01826510-001-09-9,1.8745,5.0,DMSO,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,BR00122250,A14,9,3736,3736,3736,3736,2023_05_15_Batch1,0.6098390160983902,0.011075370008736318
14,S-C-7314-04-CMP-001,,BRD-K09372874-001-02-9,2.2623,5.0,DMSO,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,BR00122250,A15,9,1319,1319,1319,1319,2023_05_15_Batch1,9.999000099990002e-05,1.0
15,S-C-7314-04-CMP-001,,BRD-K06182768-001-02-3,1.6472,5.0,DMSO,K06182768,BRD-K06182768-001-06-4,A-366,histone lysine methyltransferase inhibitor,BR00122250,A16,9,3495,3495,3495,3495,2023_05_15_Batch1,0.8022197780221978,0.008563127761439998
16,S-C-7314-04-CMP-001,,BRD-K53972329-001-12-9,1.5318,5.0,DMSO,K53972329,BRD-K53972329-001-07-0,ruxolitinib,JAK inhibitor,BR00122250,A17,9,3905,3905,3905,3905,2023_05_15_Batch1,0.10478952104789521,0.039548444976076555
17,S-C-7314-04-CMP-001,,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122250,A18,9,1102,1102,1102,1102,2023_05_15_Batch1,9.999000099990002e-05,0.6788617886178862
18,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122250,A19,9,3770,3770,3770,3770,2023_05_15_Batch1,,
19,S-C-7314-04-CMP-001,,BRD-K45909031-001-03-9,2.4849,5.0,DMSO,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,BR00122250,A20,9,3162,3162,3162,3162,2023_05_15_Batch1,0.029997000299970003,0.11384783798576902
20,S-C-7314-04-CMP-001,,BRD-K38627885-001-01-9,2.0674,5.0,DMSO,K38627885,BRD-K38627885-001-01-9,APY0201,phosphoinositide dependent kinase inhibitor,BR00122250,A21,9,2225,2225,2225,2225,2023_05_15_Batch1,9.999000099990002e-05,0.7333333333333334
21,S-C-7314-04-CMP-001,,BRD-K99092662-001-02-9,1.5286,5.0,DMSO,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,BR00122250,A22,9,4096,4096,4096,4096,2023_05_15_Batch1,0.0033996600339966003,0.35006377551020407
22,S-C-7314-04-CMP-001,,BRD-K21728777-001-03-9,2.5179,5.0,DMSO,K21728777,BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,BR00122250,A23,9,707,707,707,707,2023_05_15_Batch1,9.999000099990002e-05,1.0
23,S-C-7314-04-CMP-001,,BRD-K75009076-001-04-9,1.8813,5.0,DMSO,K75009076,BRD-K75009076-001-02-1,SCH-900776,CHK inhibitor,BR00122250,A24,9,590,590,590,590,2023_05_15_Batch1,9.999000099990002e-05,0.8666666666666667
24,S-C-7314-04-CMP-001,negcon,,,,DMSO,,,,,BR00122250,B01,9,3965,3965,3965,3965,2023_05_15_Batch1,,
25,S-C-7314-04-CMP-001,,BRD-K67578145-001-13-9,1.6719,5.0,DMSO,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,BR00122250,B02,9,4746,4746,4746,4746,2023_05_15_Batch1,9.999000099990002e-05,1.0
26,S-C-7314-04-CMP-001,,BRD-K67578145-001-13-9,1.6719,5.0,DMSO,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,BR00122250,B03,9,4392,4392,4392,4392,2023_05_15_Batch1,9.999000099990002e-05,1.0
27,S-C-7314-04-CMP-001,,BRD-K56301217-001-02-5,4.0671,5.0,DMSO,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,BR00122250,B04,9,3175,3175,3175,3175,2023_05_15_Batch1,9.999000099990002e-05,1.0
28,S-C-7314-04-CMP-001,,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122250,B05,9,1858,1858,1858,1858,2023_05_15_Batch1,0.0093990600939906,0.19924242424242422
29,S-C-7314-04-CMP-001,,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122250,B06,9,3970,3970,3970,3970,2023_05_15_Batch1,0.1274872512748725,0.034327107279693486
30,S-C-7314-04-CMP-001,,BRD-K99433989-001-02-9,2.4503,5.0,DMSO,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,BR00122250,B07,9,3980,3980,3980,3980,2023_05_15_Batch1,0.00019998000199980003,0.576923076923077
31,S-C-7314-04-CMP-001,,BRD-K45909031-001-03-9,2.4849,5.0,DMSO,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,BR00122250,B08,9,3413,3413,3413,3413,2023_05_15_Batch1,0.0183981601839816,0.15625
32,S-C-7314-04-CMP-001,,BRD-A22769835-300-05-7,1.9389,5.0,DMSO,A22769835,BRD-A22769835-300-05-7,homochlorcyclizine,antihistamine,BR00122250,B09,9,3740,3740,3740,3740,2023_05_15_Batch1,0.44585541445855414,0.014155982905982906
33,S-C-7314-04-CMP-001,,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122250,B10,9,1185,1185,1185,1185,2023_05_15_Batch1,0.00019998000199980003,0.5878136200716845
34,S-C-7314-04-CMP-001,,BRD-K06883221-001-02-9,2.0725,5.0,DMSO,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,BR00122250,B11,9,3838,3838,3838,3838,2023_05_15_Batch1,0.18418158184181582,0.02601141514184992
35,S-C-7314-04-CMP-001,,BRD-K66430217-001-05-9,1.6909,5.0,DMSO,K66430217,BRD-K66430217-001-03-8,KH-CB19,CDC inhibitor,BR00122250,B12,9,4082,4082,4082,4082,2023_05_15_Batch1,0.0011998800119988001,0.36333333333333334
