,Metadata_plate_map_name,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_BRD ID,Metadata_BRD with batch,Metadata_Common Name,Metadata_MoA,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Object_Count,Metadata_batch,p_value,average_precision
0,S-C-7314-04-CMP-001,BRD-K62391742-001-19-9,4.3422,5.0,DMSO,K62391742,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,BR00122247,A01,9,3361,3361,3361,3361,2023_05_17_Batch2,0.037896210378962104,0.08566243194192376
1,S-C-7314-04-CMP-001,BRD-K19477839-001-10-9,1.797,5.0,DMSO,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,BR00122247,A02,9,4012,4012,4012,4012,2023_05_17_Batch2,0.21837816218378162,0.02381293057763646
2,S-C-7314-04-CMP-001,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122247,A03,9,4048,4048,4048,4048,2023_05_17_Batch2,0.55994400559944,0.011737866992644064
3,S-C-7314-04-CMP-001,BRD-K70642949-001-06-9,2.313,5.0,DMSO,K70642949,BRD-K70642949-001-04-5,GSK2334470,phosphoinositide dependent kinase inhibitor,BR00122247,A04,9,3239,3239,3239,3239,2023_05_17_Batch2,9.999000099990002e-05,0.7666666666666666
4,S-C-7314-04-CMP-001,BRD-K73397362-001-09-9,2.6031,5.0,DMSO,K73397362,BRD-K73397362-001-06-6,purmorphamine,smoothened receptor agonist,BR00122247,A05,9,3955,3955,3955,3955,2023_05_17_Batch2,0.000999900009999,0.3805555555555556
5,S-C-7314-04-CMP-001,BRD-K13606314-001-02-9,1.7411,5.0,DMSO,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,BR00122247,A06,9,4259,4259,4259,4259,2023_05_17_Batch2,0.5974402559744025,0.01117732892628392
6,S-C-7314-04-CMP-001,BRD-K82941592-238-06-9,2.6182,5.0,DMSO,K82941592,BRD-K82941592-238-03-7,rosuvastatin,HMGCR inhibitor,BR00122247,A07,9,3951,3951,3951,3951,2023_05_17_Batch2,0.0100989901009899,0.20757020757020758
7,S-C-7314-04-CMP-001,BRD-K86718786-001-03-9,1.4917,5.0,DMSO,K86718786,BRD-K86718786-001-03-9,SGC-707,protein arginine N-methyltransferase inhibitor,BR00122247,A08,9,3872,3872,3872,3872,2023_05_17_Batch2,0.33366663333666635,0.017428078359978002
8,S-C-7314-04-CMP-001,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122247,A09,9,1812,1812,1812,1812,2023_05_17_Batch2,9.999000099990002e-05,0.7916666666666666
9,S-C-7314-04-CMP-001,BRD-K36234266-001-10-6,1.0702,5.0,DMSO,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,BR00122247,A10,9,3899,3899,3899,3899,2023_05_17_Batch2,0.10678932106789321,0.03946876169098391
10,S-C-7314-04-CMP-001,BRD-K72898849-001-03-9,2.5469,5.0,DMSO,K72898849,BRD-K72898849-001-01-8,BLU9931,FGFR inhibitor,BR00122247,A11,9,2432,2432,2432,2432,2023_05_17_Batch2,9.999000099990002e-05,1.0
11,S-C-7314-04-CMP-001,BRD-A87435144-001-01-6,2.3944,5.0,DMSO,A87435144,BRD-A87435144-001-01-6,AZD7545,pyruvate dehydrogenase kinase inhibitor,BR00122247,A12,9,3795,3795,3795,3795,2023_05_17_Batch2,0.012098790120987902,0.18209381130729443
12,S-C-7314-04-CMP-001,BRD-K94455792-001-01-8,2.7432,5.0,DMSO,K94455792,BRD-K94455792-001-01-8,ICG-001,beta-catenin inhibitor,BR00122247,A13,9,3019,3019,3019,3019,2023_05_17_Batch2,0.04839516048395161,0.0711694809255785
13,S-C-7314-04-CMP-001,BRD-K01826510-001-09-9,1.8745,5.0,DMSO,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,BR00122247,A14,9,3906,3906,3906,3906,2023_05_17_Batch2,0.5324467553244675,0.012262331220721961
14,S-C-7314-04-CMP-001,BRD-K09372874-001-02-9,2.2623,5.0,DMSO,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,BR00122247,A15,9,1351,1351,1351,1351,2023_05_17_Batch2,9.999000099990002e-05,1.0
15,S-C-7314-04-CMP-001,BRD-K06182768-001-02-3,1.6472,5.0,DMSO,K06182768,BRD-K06182768-001-06-4,A-366,histone lysine methyltransferase inhibitor,BR00122247,A16,9,3941,3941,3941,3941,2023_05_17_Batch2,0.21407859214078592,0.024253001911089006
16,S-C-7314-04-CMP-001,BRD-K53972329-001-12-9,1.5318,5.0,DMSO,K53972329,BRD-K53972329-001-07-0,ruxolitinib,JAK inhibitor,BR00122247,A17,9,4264,4264,4264,4264,2023_05_17_Batch2,0.1703829617038296,0.028219774241806068
17,S-C-7314-04-CMP-001,BRD-K49669041-001-10-9,2.3568,5.0,DMSO,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,BR00122247,A18,9,1060,1060,1060,1060,2023_05_17_Batch2,9.999000099990002e-05,1.0
18,S-C-7314-04-CMP-001,,,,DMSO,,,,,BR00122247,A19,9,4128,4128,4128,4128,2023_05_17_Batch2,,
19,S-C-7314-04-CMP-001,BRD-K45909031-001-03-9,2.4849,5.0,DMSO,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,BR00122247,A20,9,3560,3560,3560,3560,2023_05_17_Batch2,0.067993200679932,0.05490866360431578
20,S-C-7314-04-CMP-001,BRD-K38627885-001-01-9,2.0674,5.0,DMSO,K38627885,BRD-K38627885-001-01-9,APY0201,phosphoinositide dependent kinase inhibitor,BR00122247,A21,9,2536,2536,2536,2536,2023_05_17_Batch2,9.999000099990002e-05,1.0
21,S-C-7314-04-CMP-001,BRD-K99092662-001-02-9,1.5286,5.0,DMSO,K99092662,BRD-K99092662-001-01-1,PS178990,androgen receptor modulator,BR00122247,A22,9,4080,4080,4080,4080,2023_05_17_Batch2,0.036696330366963306,0.08931541391705562
22,S-C-7314-04-CMP-001,BRD-K21728777-001-03-9,2.5179,5.0,DMSO,K21728777,BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,BR00122247,A23,9,724,724,724,724,2023_05_17_Batch2,9.999000099990002e-05,1.0
23,S-C-7314-04-CMP-001,BRD-K75009076-001-04-9,1.8813,5.0,DMSO,K75009076,BRD-K75009076-001-02-1,SCH-900776,CHK inhibitor,BR00122247,A24,9,586,586,586,586,2023_05_17_Batch2,9.999000099990002e-05,0.75
24,S-C-7314-04-CMP-001,,,,DMSO,,,,,BR00122247,B01,9,4190,4190,4190,4190,2023_05_17_Batch2,,
25,S-C-7314-04-CMP-001,BRD-K67578145-001-13-9,1.6719,5.0,DMSO,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,BR00122247,B02,9,4605,4605,4605,4605,2023_05_17_Batch2,9.999000099990002e-05,0.7291666666666666
26,S-C-7314-04-CMP-001,BRD-K67578145-001-13-9,1.6719,5.0,DMSO,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,BR00122247,B03,9,4619,4619,4619,4619,2023_05_17_Batch2,9.999000099990002e-05,0.7333333333333334
27,S-C-7314-04-CMP-001,BRD-K56301217-001-02-5,4.0671,5.0,DMSO,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,BR00122247,B04,9,3232,3232,3232,3232,2023_05_17_Batch2,9.999000099990002e-05,0.9166666666666666
28,S-C-7314-04-CMP-001,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122247,B05,9,2001,2001,2001,2001,2023_05_17_Batch2,9.999000099990002e-05,0.8333333333333334
29,S-C-7314-04-CMP-001,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122247,B06,9,4240,4240,4240,4240,2023_05_17_Batch2,0.0408959104089591,0.07955662822919458
30,S-C-7314-04-CMP-001,BRD-K99433989-001-02-9,2.4503,5.0,DMSO,K99433989,BRD-K99433989-001-02-9,SAG,smoothened receptor agonist,BR00122247,B07,9,4062,4062,4062,4062,2023_05_17_Batch2,9.999000099990002e-05,0.5744234800838574
31,S-C-7314-04-CMP-001,BRD-K45909031-001-03-9,2.4849,5.0,DMSO,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,BR00122247,B08,9,3461,3461,3461,3461,2023_05_17_Batch2,0.05169483051694831,0.06754385964912281
32,S-C-7314-04-CMP-001,BRD-A22769835-300-05-7,1.9389,5.0,DMSO,A22769835,BRD-A22769835-300-05-7,homochlorcyclizine,antihistamine,BR00122247,B09,9,4048,4048,4048,4048,2023_05_17_Batch2,0.137986201379862,0.033010400473758236
33,S-C-7314-04-CMP-001,BRD-K98203492-001-06-9,2.0875,5.0,DMSO,K98203492,BRD-K98203492-003-04-1,GSK-J4,histone lysine demethylase inhibitor,BR00122247,B10,9,1288,1288,1288,1288,2023_05_17_Batch2,9.999000099990002e-05,1.0
34,S-C-7314-04-CMP-001,BRD-K06883221-001-02-9,2.0725,5.0,DMSO,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,BR00122247,B11,9,3971,3971,3971,3971,2023_05_17_Batch2,0.1598840115988401,0.02963700944295244
35,S-C-7314-04-CMP-001,BRD-K66430217-001-05-9,1.6909,5.0,DMSO,K66430217,BRD-K66430217-001-03-8,KH-CB19,CDC inhibitor,BR00122247,B12,9,4242,4242,4242,4242,2023_05_17_Batch2,0.15078492150784922,0.030788333032327975
36,S-C-7314-04-CMP-001,BRD-K84937637-001-21-9,4.5709,5.0,DMSO,K84937637,BRD-K84937637-001-11-5,sirolimus,mTOR inhibitor,BR00122247,B13,9,2699,2699,2699,2699,2023_05_17_Batch2,9.999000099990002e-05,1.0
37,S-C-7314-04-CMP-001,BRD-K93942811-001-03-9,1.9224,5.0,DMSO,K93942811,BRD-K93942811-001-01-3,ML-323,ubiquitin specific protease inhibitor,BR00122247,B14,9,3780,3780,3780,3780,2023_05_17_Batch2,0.0004999500049995,0.41421568627450983
38,S-C-7314-04-CMP-001,BRD-A53576514-048-02-8,2.3075,5.0,DMSO,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,BR00122247,B15,9,4107,4107,4107,4107,2023_05_17_Batch2,0.1346865313468653,0.033561896335618964
39,S-C-7314-04-CMP-001,,,,DMSO,,,,,BR00122247,B16,9,4441,4441,4441,4441,2023_05_17_Batch2,,
40,S-C-7314-04-CMP-001,BRD-K56932272-001-02-9,2.4378,5.0,DMSO,K56932272,BRD-K56932272-001-02-9,BMS-566419,inosine monophosphate dehydrogenase inhibitor,BR00122247,B17,9,2721,2721,2721,2721,2023_05_17_Batch2,0.00019998000199980003,0.4554334554334554
41,S-C-7314-04-CMP-001,BRD-K24600306-003-02-9,2.3445,5.0,DMSO,K24600306,BRD-K24600306-003-02-9,ML-298,phospholipase inhibitor,BR00122247,B18,9,3910,3910,3910,3910,2023_05_17_Batch2,0.2516748325167483,0.02155452373923079
