,Unnamed: 0,Metadata_broad_sample_x,average_precision_std,average_precision_mito,average_precision_act,BRD ID,Metadata_broad_sample_y,Common Name,MoA,std_vs_act,std_vs_mito,Metadata_Count_Cells_Std,Metadata_Count_Cells_act,Metadata_Count_Cells_act_norm,Metadata_Count_Cells_Std_norm
0,0,BRD-A12994259-001-11-9,0.2867454304954305,0.2027960329430917,0.2558751542575072,A12994259,BRD-A12994259-001-02-1,pomalidomide,tumor necrosis factor production inhibitor,0.0308702762379233,0.0839493975523387,4085.0,4205.0,42.05,40.85
1,1,BRD-A22769835-300-05-7,0.5277777777777778,0.3345779779216312,0.159312189788196,A22769835,BRD-A22769835-300-05-7,homochlorcyclizine,antihistamine,0.3684655879895818,0.1931997998561466,3827.75,4096.25,40.9625,38.2775
2,2,BRD-A53576514-048-02-8,0.3665339631129105,0.4226851851851852,0.3335751054501054,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,0.032958857662805,-0.0561512220722747,4174.0,4148.25,41.4825,41.74
3,3,BRD-A87435144-001-01-6,0.9791666666666666,0.8972222222222223,0.8500000000000001,A87435144,BRD-A87435144-001-01-6,AZD7545,pyruvate dehydrogenase kinase inhibitor,0.1291666666666665,0.0819444444444443,3627.75,3599.25,35.9925,36.2775
4,4,BRD-K00818915-001-02-9,0.269047619047619,0.2980579605579606,0.248718917391518,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,0.020328701656101,-0.0290103415103415,3972.5,4198.75,41.9875,39.725
5,5,BRD-K01826510-001-09-9,0.3409569597069597,0.3343637743094265,0.5228863728863729,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,-0.1819294131794131,0.0065931853975332,3883.5,3819.25,38.1925,38.835
6,6,BRD-K02965346-001-01-8,1.0,1.0,1.0,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,0.0,0.0,1845.5,1938.25,19.3825,18.455
7,7,BRD-K03063480-001-08-9,1.0,1.0,1.0,K03063480,BRD-K03063480-001-06-6,PF-477736,CHK inhibitor,0.0,0.0,256.5,263.25,2.6325,2.565
8,8,BRD-K04923131-001-17-9,1.0,1.0,1.0,K04923131,BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor,0.0,0.0,1601.0,1585.0,15.85,16.01
9,9,BRD-K06182768-001-02-3,0.3211886357106945,0.6847222222222222,0.3401785714285714,K06182768,BRD-K06182768-001-06-4,A-366,histone lysine methyltransferase inhibitor,-0.0189899357178768,-0.3635335865115277,3858.0,3965.25,39.6525,38.58
10,10,BRD-K06883221-001-02-9,0.6629960317460317,0.2407671957671957,0.1566587347837347,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,0.506337296962297,0.422228835978836,3881.75,4161.5,41.615,38.8175
11,11,BRD-K09372874-001-02-9,1.0,1.0,1.0,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,0.0,0.0,1371.25,1457.5,14.575,13.7125
12,12,BRD-K12511835-003-03-9,1.0,1.0,1.0,K12511835,BRD-K12511835-003-01-2,BMS-863233,CDC inhibitor,0.0,0.0,3188.0,3399.5,33.995,31.88
13,13,BRD-K12737986-001-01-4,0.2878517316017316,0.1540660679476468,0.3268518518518518,K12737986,BRD-K12737986-001-01-4,veliparib,PARP inhibitor,-0.0390001202501202,0.1337856636540847,3850.75,3912.0,39.12,38.5075
14,14,BRD-K13094524-001-10-9,0.9027777777777776,1.0,1.0,K13094524,BRD-K13094524-001-04-2,PFI-1,bromodomain inhibitor,-0.0972222222222223,-0.0972222222222223,3683.75,3795.0,37.95,36.8375
15,15,BRD-K13606314-001-02-9,0.7722222222222223,0.3978021978021978,0.3692045454545454,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,0.4030176767676768,0.3744200244200244,3675.25,3885.25,38.8525,36.7525
16,16,BRD-K16189898-001-26-9,1.0,1.0,1.0,K16189898,BRD-K16189898-003-03-3,CHIR-99021,glycogen synthase kinase inhibitor,0.0,0.0,3427.75,3467.75,34.6775,34.2775
17,17,BRD-K16803204-001-02-9,0.3130067798546059,0.2013040078829552,0.3742799852067586,K16803204,BRD-K16803204-001-01-6,filgotinib,JAK inhibitor,-0.0612732053521527,0.1117027719716506,3925.0,4081.0,40.81,39.25
18,18,BRD-K17953061-001-05-1,1.0,1.0,1.0,K17953061,BRD-K17953061-001-14-3,Staurosporine,Apoptosis inducer (ATP-competitive kinase inhibitor),0.0,0.0,855.75,949.75,9.4975,8.5575
19,19,BRD-K19477839-001-10-9,0.1553240894513273,0.160032375032375,0.1680952643548551,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,-0.0127711749035278,-0.0047082855810477,3900.0,4045.25,40.4525,39.0
20,20,BRD-K19871656-001-01-3,1.0,1.0,1.0,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,0.0,0.0,3181.25,3303.0,33.03,31.8125
21,21,BRD-K20290250-001-03-9,0.6666666666666666,0.7162698412698412,0.7242063492063492,K20290250,BRD-K20290250-001-02-1,BIX-02188,MEK inhibitor,-0.0575396825396825,-0.0496031746031745,3785.0,3957.5,39.575,37.85
22,22,BRD-K21728777-001-03-9,1.0,1.0,1.0,K21728777,BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,0.0,0.0,727.0,727.5,7.275,7.27
23,23,BRD-K23383398-001-08-1,1.0,0.6102272727272727,1.0,K23383398,BRD-K23383398-001-09-9,T-0901317,LXR agonist,0.0,0.3897727272727272,3956.0,4037.5,40.375,39.56
24,24,BRD-K24600306-003-02-9,0.3373316498316498,0.233270202020202,0.3908527678748267,K24600306,BRD-K24600306-003-02-9,ML-298,phospholipase inhibitor,-0.0535211180431768,0.1040614478114477,3766.25,3918.0,39.18,37.6625
25,25,BRD-K24696047-001-03-9,1.0,1.0,1.0,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,0.0,0.0,3123.75,3187.25,31.8725,31.2375
26,26,BRD-K25433859-003-03-1,0.1428226121704382,0.1503406084656084,0.3147934813724287,K25433859,BRD-K25433859-003-23-9,maprotiline,tricyclic antidepressant,-0.1719708692019905,-0.0075179962951702,3948.75,4059.25,40.5925,39.4875
27,27,BRD-K25611237-001-09-9,0.8791666666666667,1.0,0.4847187412976886,K25611237,BRD-K25611237-001-02-1,ML324,histone lysine demethylase inhibitor,0.394447925368978,-0.1208333333333333,3408.25,3626.25,36.2625,34.0825
28,28,BRD-K28936863-051-14-0,0.3121044464794464,0.1692830086580086,0.2237367614269788,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,0.0883676850524676,0.1428214378214378,4111.0,3995.25,39.9525,41.11
29,29,BRD-K30707190-001-06-9,0.333519721019721,0.2592456617456617,0.240540293040293,K30707190,BRD-K30707190-001-04-1,PNU-74654,beta-catenin inhibitor,0.0929794279794279,0.0742740592740592,3891.5,3948.25,39.4825,38.915
30,30,BRD-K32730239-001-03-9,0.4163628038628039,0.5779220779220778,0.2428185190413451,K32730239,BRD-K32730239-001-01-0,SU3327,JNK inhibitor,0.1735442848214587,-0.1615592740592739,3089.0,3057.25,30.5725,30.89
31,31,BRD-K33818169-003-04-6,0.6468253968253967,0.7868055555555555,0.6048611111111111,K33818169,BRD-K33818169-003-04-6,GW-3965,LXR agonist,0.0419642857142856,-0.1399801587301588,4189.25,4015.5,40.155,41.8925
32,32,BRD-K36234266-001-10-6,0.2762655168905168,0.1982075963538812,0.1154631271135847,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,0.1608023897769321,0.0780579205366356,3783.5,3956.25,39.5625,37.835
33,33,BRD-K37379014-001-02-0,1.0,1.0,1.0,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,0.0,0.0,497.25,501.5,5.015,4.9725
