,Metadata_broad_sample_x,average_precision_std,average_precision_mito,average_precision_act,BRD ID,Metadata_broad_sample_y,Common Name,MoA,std_vs_act,std_vs_mito
0,BRD-A12994259-001-11-9,0.052010714583141465,0.01995593364837842,0.1090157879356847,A12994259,BRD-A12994259-001-02-1,pomalidomide,tumor necrosis factor production inhibitor,-0.057005073352543234,0.03205478093476305
1,BRD-A22769835-300-05-7,0.021961105870969173,0.015596421538396488,0.010838490394263753,A22769835,BRD-A22769835-300-05-7,homochlorcyclizine,antihistamine,0.01112261547670542,0.006364684332572685
2,BRD-A53576514-048-02-8,0.04145129359296712,0.10211850190378073,0.11853413442450392,A53576514,BRD-A53576514-048-14-3,orphenadrine,acetylcholine receptor antagonist,-0.0770828408315368,-0.06066720831081361
3,BRD-A87435144-001-01-6,0.12959727913182828,0.13151859670794147,0.09177145457502002,A87435144,BRD-A87435144-001-01-6,AZD7545,pyruvate dehydrogenase kinase inhibitor,0.03782582455680826,-0.0019213175761131907
4,BRD-K00818915-001-02-9,0.17399418859012583,0.17641039638452138,0.04625448557793552,K00818915,BRD-K00818915-003-01-8,SHP099,protein tyrosine kinase inhibitor,0.12773970301219031,-0.002416207794395553
5,BRD-K01826510-001-09-9,0.020173908440402174,0.041036335590730125,0.03541528011425299,K01826510,BRD-K01826510-300-06-9,hydroxyzine,antihistamine,-0.015241371673850816,-0.02086242715032795
6,BRD-K02965346-001-01-8,0.44371750767895635,0.38203019701045643,1.0,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,-0.5562824923210437,0.06168731066849992
7,BRD-K03063480-001-08-9,1.0,1.0,0.7405753968253967,K03063480,BRD-K03063480-001-06-6,PF-477736,CHK inhibitor,0.25942460317460325,0.0
8,BRD-K04923131-001-17-9,0.7058080808080809,0.6456582633053222,0.6870879120879121,K04923131,BRD-K04923131-001-15-4,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor,0.018720168720168795,0.06014981750275872
9,BRD-K06182768-001-02-3,0.01607215437288742,0.0661667236182556,0.018399459582268414,K06182768,BRD-K06182768-001-06-4,A-366,histone lysine methyltransferase inhibitor,-0.0023273052093809934,-0.050094569245368176
10,BRD-K06883221-001-02-9,0.023257102507477274,0.013003960561327558,0.011046303683161895,K06883221,BRD-K06883221-001-01-9,apratastat,tumor necrosis factor production inhibitor,0.012210798824315378,0.010253141946149716
11,BRD-K09372874-001-02-9,1.0,0.7990196078431372,1.0,K09372874,BRD-K09372874-001-01-0,merimepodib,inosine monophosphate dehydrogenase inhibitor,0.0,0.2009803921568628
12,BRD-K12511835-003-03-9,1.0,1.0,0.8694444444444445,K12511835,BRD-K12511835-003-01-2,BMS-863233,CDC inhibitor,0.13055555555555554,0.0
13,BRD-K12737986-001-01-4,0.02244467383695809,0.012921777913310131,0.0290589640615636,K12737986,BRD-K12737986-001-01-4,veliparib,PARP inhibitor,-0.00661429022460551,0.00952289592364796
14,BRD-K13094524-001-10-9,0.16969979719361952,0.5868929570302568,0.319768546018546,K13094524,BRD-K13094524-001-04-2,PFI-1,bromodomain inhibitor,-0.15006874882492646,-0.4171931598366373
15,BRD-K13606314-001-02-9,0.08499877255817485,0.017307723349213596,0.0200763218315013,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,0.06492245072667355,0.06769104920896125
16,BRD-K16189898-001-26-9,1.0,1.0,1.0,K16189898,BRD-K16189898-003-03-3,CHIR-99021,glycogen synthase kinase inhibitor,0.0,0.0
17,BRD-K16803204-001-02-9,0.08293402774974434,0.0265914805113468,0.024433204098709856,K16803204,BRD-K16803204-001-01-6,filgotinib,JAK inhibitor,0.058500823651034484,0.056342547238397545
18,BRD-K17953061-001-05-1,1.0,1.0,0.6898656898656899,K17953061,BRD-K17953061-001-14-3,Staurosporine,Apoptosis inducer (ATP-competitive kinase inhibitor),0.31013431013431014,0.0
19,BRD-K19477839-001-10-9,0.044050593064146076,0.022573715514541667,0.010546557530535341,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,0.03350403553361073,0.02147687754960441
20,BRD-K19871656-001-01-3,1.0,1.0,1.0,K19871656,BRD-K19871656-001-01-3,CPI-0610,bromodomain inhibitor,0.0,0.0
21,BRD-K20290250-001-03-9,0.1980538930821171,0.2213538203315799,0.28863114258088507,K20290250,BRD-K20290250-001-02-1,BIX-02188,MEK inhibitor,-0.09057724949876797,-0.02329992724946281
22,BRD-K21728777-001-03-9,0.875297619047619,1.0,1.0,K21728777,BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,-0.12470238095238095,-0.12470238095238095
23,BRD-K23383398-001-08-1,1.0,0.19471593135335036,0.9583333333333334,K23383398,BRD-K23383398-001-09-9,T-0901317,LXR agonist,0.04166666666666663,0.8052840686466496
24,BRD-K24600306-003-02-9,0.010022723806992671,0.020968585441453004,0.044450937716925924,K24600306,BRD-K24600306-003-02-9,ML-298,phospholipase inhibitor,-0.03442821390993325,-0.010945861634460333
25,BRD-K24696047-001-03-9,0.8039529914529915,0.3763864100807913,0.5346838532984044,K24696047,BRD-K24696047-001-02-3,NVP-AEW541,IGF-1 inhibitor,0.2692691381545871,0.42756658137220016
26,BRD-K25433859-003-03-1,0.010964663292441012,0.014663312858724277,0.13591323207420575,K25433859,BRD-K25433859-003-23-9,maprotiline,tricyclic antidepressant,-0.12494856878176473,-0.003698649566283265
27,BRD-K25611237-001-09-9,0.06338546927963037,0.1295471028342814,0.028763552300995834,K25611237,BRD-K25611237-001-02-1,ML324,histone lysine demethylase inhibitor,0.03462191697863454,-0.06616163355465102
28,BRD-K28936863-051-14-0,0.10135158583416913,0.010385015808358152,0.017409431644927437,K28936863,BRD-K28936863-051-32-2,ketotifen,phosphodiesterase inhibitor,0.0839421541892417,0.09096657002581097
29,BRD-K30707190-001-06-9,0.014912613480811054,0.013373334749746136,0.0125929360285388,K30707190,BRD-K30707190-001-04-1,PNU-74654,beta-catenin inhibitor,0.0023196774522722535,0.0015392787310649185
30,BRD-K32730239-001-03-9,0.01221210770406406,0.022993413705015304,0.01200812200863778,K32730239,BRD-K32730239-001-01-0,SU3327,JNK inhibitor,0.00020398569542628107,-0.010781306000951243
31,BRD-K33818169-003-04-6,0.31294098307828283,0.38832976111438555,0.15770530637065214,K33818169,BRD-K33818169-003-04-6,GW-3965,LXR agonist,0.1552356767076307,-0.07538877803610272
32,BRD-K36234266-001-10-6,0.03599535977527838,0.013391870547184671,0.009560708155789159,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,0.02643465161948922,0.022603489228093708
33,BRD-K37379014-001-02-0,0.9305555555555555,0.7045127276105536,0.712310606060606,K37379014,BRD-K37379014-001-01-2,filanesib,kinesin inhibitor,0.21824494949494944,0.22604282794500186
34,BRD-K38627885-001-01-9,0.6230235042735044,0.766416910331384,1.0,K38627885,BRD-K38627885-001-01-9,APY0201,phosphoinositide dependent kinase inhibitor,-0.3769764957264956,-0.14339340605787965
35,BRD-K39520573-001-01-2,0.12607616812858993,0.2662359494442309,0.03092939788726445,K39520573,BRD-K39520573-001-03-8,GW-5074,RAF inhibitor,0.09514677024132548,-0.14015978131564097
36,BRD-K39974922-001-05-9,0.8917748917748917,1.0,0.7708333333333334,K39974922,BRD-K39974922-001-04-3,lenvatinib,FGFR inhibitor,0.1209415584415583,-0.10822510822510834
37,BRD-K44227013-001-15-9,0.861111111111111,0.4646825396825397,0.5147837066315327,K44227013,BRD-K44227013-001-08-0,ponatinib,Bcr-Abl kinase inhibitor,0.3463274044795783,0.39642857142857135
38,BRD-K45909031-001-03-9,0.20467020577309497,0.16617381461131459,0.10542550677531504,K45909031,BRD-K45909031-001-01-5,WZ4003,AMPK inhibitor,0.09924469899777993,0.038496391161780386
39,BRD-K49669041-001-10-9,0.5251258838014009,0.761968766001024,0.834090909090909,K49669041,BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,-0.3089650252895081,-0.23684288219962313
40,BRD-K50055394-001-04-9,0.9037698412698412,0.8398809523809524,0.9791666666666666,K50055394,BRD-K50055394-001-03-6,halopemide,phospholipase inhibitor,-0.07539682539682546,0.06388888888888877
41,BRD-K53665955-001-05-9,0.48545723907676447,0.37848716252589004,0.4595219017094017,K53665955,BRD-K53665955-001-03-0,MK-5108,Aurora kinase inhibitor,0.025935337367362754,0.10697007655087443
42,BRD-K53972329-001-12-9,0.17920839113515194,0.16944902257595834,0.1163219811316861,K53972329,BRD-K53972329-001-07-0,ruxolitinib,JAK inhibitor,0.06288641000346584,0.009759368559193599
43,BRD-K54759182-003-09-8,0.018018073040121776,0.011523654502471142,0.03077358749266626,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,-0.012755514452544484,0.006494418537650634
44,BRD-K54955827-001-03-9,0.5154658818160432,0.5152688709537113,0.7041666666666666,K54955827,BRD-K54955827-001-02-2,niraparib,PARP inhibitor,-0.18870078485062336,0.00019701086233192555
45,BRD-K56301217-001-02-5,0.9791666666666666,0.7458603896103896,0.9583333333333334,K56301217,BRD-K56301217-001-07-4,ABT-737,BCL inhibitor,0.02083333333333326,0.23330627705627704
46,BRD-K56932272-001-02-9,0.21017673129237105,0.9083333333333333,0.26121525364863063,K56932272,BRD-K56932272-001-02-9,BMS-566419,inosine monophosphate dehydrogenase inhibitor,-0.05103852235625958,-0.6981566020409623
47,BRD-K57080016-001-19-1,0.6508712905452035,0.5583180708180708,0.9791666666666666,K57080016,BRD-K57080016-001-01-9,selumetinib,MEK inhibitor,-0.3282953761214631,0.09255321972713271
48,BRD-K60130390-001-02-1,1.0,1.0,0.6906981821068509,K60130390,BRD-K60130390-001-02-1,UNC0642,histone lysine methyltransferase inhibitor,0.30930181789314914,0.0
49,BRD-K61397605-001-04-2,0.4827800932357753,0.8590277777777777,0.5387896825396825,K61397605,BRD-K61397605-001-07-5,romidepsin,HDAC inhibitor,-0.056009589303907203,-0.3762476845420024
50,BRD-K61688984-001-04-5,0.5133706560746709,1.0,0.8396915584415584,K61688984,BRD-K61688984-001-02-9,RGFP966,HDAC inhibitor,-0.3263209023668875,-0.4866293439253291
51,BRD-K62391742-001-19-9,0.4848273881168618,0.28952467696623846,0.281096747056,K62391742,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,0.2037306410608618,0.19530271115062336
52,BRD-K63631219-001-01-6,0.00875894330950677,0.0136624834689073,0.008536763525642565,K63631219,BRD-K63631219-001-01-6,quazinone,phosphodiesterase inhibitor,0.00022217978386420562,-0.004903540159400529
53,BRD-K64881305-001-07-9,0.46757708665603404,0.3801081421771077,0.2619874928912446,K64881305,BRD-K64881305-001-05-2,ispinesib,kinesin inhibitor,0.2055895937647894,0.08746894447892634
54,BRD-K66401437-001-03-3,0.8520833333333333,0.851010101010101,0.46405053280053277,K66401437,BRD-K66401437-001-03-3,THZ1,CDK inhibitor,0.38803280053280054,0.0010732323232323093
55,BRD-K66430217-001-05-9,0.12051995523863789,0.026561026516149052,0.022324729625258288,K66430217,BRD-K66430217-001-03-8,KH-CB19,CDC inhibitor,0.0981952256133796,0.09395892872248883
56,BRD-K67578145-001-13-9,1.0,1.0,0.5602043602043603,K67578145,BRD-K67578145-001-09-7,GDC-0879,RAF inhibitor,0.43979563979563974,0.0
57,BRD-K67772619-001-06-9,0.02832440679159874,0.2548651169299353,0.022341684440837804,K67772619,BRD-K67772619-001-05-1,rheochrysidin,protein tyrosine kinase inhibitor,0.005982722350760937,-0.22654071013833654
